Vocab,Pinyin,Meaning
就是,jiù shì,exactly; precisely; only; simply; just; (used correlatively with 也) even; even if
就算,jiù suàn,(coll.) even if
就要,jiù yào,will; shall; to be going to
居民,jū mín,resident; inhabitant
居然,jū rán,unexpectedly; to one's surprise; go so far as to
局,jú,narrow
局面,jú miàn,aspect; phase; situation
局长,jú zhǎng,bureau chief
举,jǔ,variant of 举
举办,jǔ bàn,to conduct; to hold
举行,jǔ xíng,"to hold (a meeting, ceremony etc)"
巨大,jù dà,huge; immense; very large; tremendous; gigantic; enormous
句,gōu,variant of 勾
拒绝,jù jué,to refuse; to decline; to reject
具体,jù tǐ,concrete; definite; specific
具有,jù yǒu,to have; to possess
俱乐部,jù lè bù,club (the organisation or its premises) (loanword)
剧,jù,"theatrical work (play, opera, TV series etc); dramatic (change, increase etc); acute; severe"
据,jù,variant of 据
据说,jù shuō,it is said that; reportedly
距离,jù lí,distance; to be apart from
聚,jù,to congregate; to assemble; to mass; to gather together; to amass; to polymerize
聚会,jù huì,party; gathering; to meet; to get together
卷,juǎn,"to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc)"
决定,jué dìng,to decide (to do something); to resolve; decision; certainly
决赛,jué sài,finals (of a competition)
绝,jué,to cut short; extinct; to disappear; to vanish; absolutely; by no means
绝对,jué duì,absolute; unconditional
觉,jiào,a nap; a sleep
觉得,jué de,to think that ...; to feel that ...; to feel (uncomfortable etc)
军队,jūn duì,armed forces; troops
军事,jūn shì,military affairs; (attributive) military
咖啡,kā fēi,coffee (loanword)
卡,kǎ,"to stop; to block; (computing) (coll.) slow; (loanword) card; truck (from ""car""); calorie (abbr. for 里); cassette"
开,kāi,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format"
开车,kāi chē,to drive a car
开发,kāi fā,to exploit (a resource); to open up (for development); to develop
开放,kāi fàng,to bloom; to open; to be open (to the public); to open up (to the outside); to be open-minded; unrestrained by convention; unconstrained in one's sexuality
开口,kāi kǒu,to open one's mouth; to start to talk
开始,kāi shǐ,to begin; beginning; to start; initial
开玩笑,kāi wán xiào,to play a joke; to make fun of; to joke
开心,kāi xīn,to feel happy; to rejoice; to have a great time; to make fun of sb
砍,kǎn,to chop; to cut down; to throw sth at sb
看,kān,to look after; to take care of; to watch; to guard
看出,kàn chū,to make out; to see
看到,kàn dào,to see
看法,kàn fǎ,way of looking at a thing; view; opinion
看见,kàn jiàn,to see; to catch sight of
看来,kàn lai,apparently; it seems that
看起来,kàn qǐ lai,seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be
看上去,kàn shang qu,it would appear; it seems (that)
考,kǎo,to beat; to hit; variant of 考; to inspect; to test; to take an exam
考虑,kǎo lǜ,to think over; to consider; consideration
考试,kǎo shì,to take an exam; exam
考验,kǎo yàn,to test; to put to the test; trial; ordeal
烤,kǎo,to roast; to bake; to broil
靠,kào,to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old)
靠近,kào jìn,to be close to; to approach; to draw near
科,kē,branch of study; administrative section; division; field; branch; stage directions; family (taxonomy); rules; laws; to mete out (punishment); to levy (taxes etc); to fine sb
科技,kē jì,science and technology
科学,kē xué,science; scientific knowledge; scientific; rational
科学家,kē xué jiā,scientist
颗,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
可,kě,(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very
可爱,kě ài,adorable; cute; lovely
可怜,kě lián,pitiful; pathetic; to have pity on
可能,kě néng,might (happen); possible; probable; possibility; probability; maybe; perhaps
可怕,kě pà,awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly
可是,kě shì,but; however; (used for emphasis) indeed
可惜,kě xī,it is a pity; what a pity; unfortunately
可以,kě yǐ,can; may; possible; able to; not bad; pretty good
渴望,kě wàng,to thirst for; to long for
克,Kè,"abbr. for 克罗地亚, Croatia; (Tw) abbr. for 克罗埃西亚, Croatia"
刻,kè,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals
客户,kè hù,client; customer
客人,kè rén,visitor; guest; customer; client
课,kè,subject; course; class; lesson; to levy; tax; form of divination
课程,kè chéng,course; academic program
肯,kěn,old variant of 肯
肯定,kěn dìng,to be certain; to be positive; assuredly; definitely; to give recognition; to affirm; affirmative (answer)
坑,kēng,pit; depression; hollow; tunnel; hole in the ground; (archaic) to bury alive; to hoodwink; to cheat (sb)
空,kōng,empty; air; sky; in vain
空间,kōng jiān,"space; room; (fig.) scope; leeway; (astronomy) outer space; (physics, math.) space"
空气,kōng qì,air; atmosphere
空中,kōng zhōng,in the sky; in the air
恐怖,kǒng bù,terrible; frightful; frightening; terror; terrorist
恐惧,kǒng jù,to be frightened; fear; dread
恐怕,kǒng pà,fear; to dread; I'm afraid that...; perhaps; maybe
控制,kòng zhì,to control
口,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls"
扣,kòu,"to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; to smash, spike or dunk (a ball); to cover (with a bowl etc); (fig.) to tag a label on sb; (Tw) (loanword) code"
哭,kū,to cry; to weep
苦,kǔ,bitter; hardship; pain; to suffer; to bring suffering to; painstakingly
库,kù,warehouse; storehouse; (file) library
裤子,kù zi,"variant of 裤子, trousers; pants"
酷,kù,ruthless; strong (e.g. of wine); (loanword) cool; hip
块,kuài,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units"
快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant
快乐,kuài lè,happy; joyful
快速,kuài sù,fast; high-speed; rapid
宽,Kuān,surname Kuan
狂,kuáng,mad; wild; violent
困,kùn,to trap; to surround; hard-pressed; stranded; destitute
困难,kùn nan,difficult; challenging; straitened circumstances; difficult situation
扩大,kuò dà,to expand; to enlarge; to broaden one's scope
垃圾,lā jī,trash; refuse; garbage; (coll.) of poor quality; Taiwan pr. [lè sè]
拉,lā,to pull; to play (a bowed instrument); to drag; to draw; to chat; (coll.) to empty one's bowels
辣,là,old variant of 辣
啦,lā,"(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat"
啦啦队,lā lā duì,cheerleading squad
来,lái,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回来); ever since (as in 自古以来); for the past (amount of time); (prefix) the coming ...; the next ... (as in 来世); (between two verbs) in order to; (after a round number) approximately; (used after 得 to indicate possibility, as in 谈得来, or after 不 to indicate impossibility, as in 吃不来)"
来到,lái dào,to arrive; to come
来源,lái yuán,source (of information etc); origin
来自,lái zì,to come from (a place); From: (in email header)
蓝,Lán,surname Lan
蓝色,lán sè,blue (color)
篮球,lán qiú,basketball
烂,làn,soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad
狼,láng,wolf
浪费,làng fèi,to waste; to squander
浪漫,làng màn,romantic
老,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough
老板,lǎo bǎn,variant of 老板
老大,lǎo dà,old age; very; eldest child in a family; leader of a group; boss; captain of a boat; leader of a criminal gang
老公,lǎo gōng,(coll.) husband
老婆,lǎo pó,(coll.) wife
老人,lǎo rén,old man or woman; the elderly; one's aged parents or grandparents
老师,lǎo shī,teacher
乐,Lè,surname Le
乐队,yuè duì,band; pop group
了,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)"
了解,liǎo jiě,to understand; to realize; to find out
勒,lè,"to rein in; to compel; to force; to carve; to engrave; (literary) to command; to lead; bridle; (physics) abbr. for 斯, lux"
雷,Léi,surname Lei
类,lèi,kind; type; class; category; similar; like; to resemble
类似,lèi sì,similar; analogous
类型,lèi xíng,type; kind; category; (computer programming) type
累,lěi,to accumulate; to involve or implicate (Taiwan pr. [lèi]); continuous; repeated
冷,Lěng,surname Leng
冷静,lěng jìng,calm; cool-headed; dispassionate; (of a place) deserted; quiet
离,chī,mythical beast (archaic)
离婚,lí hūn,to divorce
离开,lí kāi,to depart; to leave
礼,Lǐ,"surname Li; abbr. for 礼记, Classic of Rites"
礼物,lǐ wù,gift; present
里,lǐ,variant of 里
里面,lǐ miàn,inside; interior; also pr. [lǐ mian]
理,lǐ,texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up
理解,lǐ jiě,to comprehend; to understand
理论,lǐ lùn,theory; to argue; to take notice of
理想,lǐ xiǎng,an ideal; a dream; ideal; perfect
理由,lǐ yóu,reason; grounds; justification
力,Lì,surname Li
力量,lì liang,power; force; strength
历史,lì shǐ,history
厉害,lì hai,"(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding; (of a person) stern; strict; harsh; shrewd; tough; (of an animal) fierce; (of a resemblance) striking; (of liquor or chili pepper) strong; (of bacteria) virulent"
立,Lì,surname Li
立即,lì jí,immediately
立刻,lì kè,forthwith; immediate; prompt; promptly; straightway; thereupon; at once
利,Lì,surname Li
利润,lì rùn,profits
利益,lì yì,benefit; (in sb's) interest
利用,lì yòng,to exploit; to make use of; to use; to take advantage of; to utilize
例如,lì rú,for example; for instance; such as
俩,liǎ,two (colloquial equivalent of 两个); both; some
连,Lián,surname Lian
连接,lián jiē,to link; to join; to connect
连续,lián xù,continuous; in a row; serial; consecutive
联邦,lián bāng,federal; federation; commonwealth; federal union; federal state; union
联合,lián hé,to combine; to join; unite; alliance
联盟,lián méng,alliance; union; coalition
联系,lián xì,variant of 联系
脸,liǎn,face
练,liàn,to practice; to train; to drill; to perfect (one's skill); exercise; (literary) white silk; to boil and scour raw silk
练习,liàn xí,to practice; exercise; drill; practice
恋爱,liàn ài,(romantic) love; in love; to have an affair
良好,liáng hǎo,good; favorable; well; fine
两,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)"
亮,liàng,bright; clear; resonant; to shine; to show; to reveal
辆,liàng,classifier for vehicles
量,liáng,to measure
聊,liáo,to chat; to depend upon (literary); temporarily; just; slightly
聊天,liáo tiān,to chat; to gossip
料,liào,material; stuff; grain; feed; to expect; to anticipate; to guess
