Vocab,Pinyin,Meaning,Example,Example_Meaning
高度,gāo dù,height; altitude; elevation; high degree; highly,这座山的高度是多少？,What is the height of this mountain?
高级,gāo jí,high level; high grade; advanced; high-ranking,这台电脑很高级。,This computer is very advanced.
高手,gāo shǒu,expert; past master; dab hand,他是下棋高手。,He is a chess expert.
高速,gāo sù,high speed; expressway (abbr. for 路),我们走高速去。,We will take the expressway.
高兴,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,我今天很高兴。,I am very happy today.
高中,gāo zhōng,senior high school; abbr. for 高级中学,我在读高中。,I am in high school.
搞,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of,我搞定了。,I've got it done.
告,gào,to say; to tell; to announce; to report; to denounce; to file a lawsuit; to sue,请告诉我。,Please tell me.
告诉,gào sù,to press charges; to file a complaint,请告诉我。,Please tell me.
哥,gē,elder brother,我哥在家。,My elder brother is at home.
哥哥,gē ge,older brother,我哥哥很好。,My older brother is very nice.
歌,gē,song; to sing,我喜欢这首歌。,I like this song.
歌曲,gē qǔ,song,我喜欢这首歌曲。,I like this song.
歌手,gē shǒu,singer,我想当歌手。,I want to be a singer.
革命,gé mìng,to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning); revolution; revolutionary; to revolt (against sb or sth); to revolutionize (sth); (separable verb sometimes used in the pattern 革noun的命),他想搞场革命。,He wants to start a revolution.
格,gé,square; frame; rule; (legal) case; style; character; standard; pattern; (grammar) case; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively,这张纸有格子吗？,Does this paper have a grid?
隔,gé,to separate; to partition; to stand or lie between; at a distance from; after or at an interval of,我们隔着一张桌子。,There is a table between us.
个,gě,used in 自个儿,他喜欢自个儿玩。,He likes to play by himself.
个人,gè rén,individual; personal; oneself,这是个人的事。,It is a personal matter.
个性,gè xìng,individuality; personality,她很有个性。,She has a lot of personality.
各,gè,each; every,各人一份。,One for each person.
各地,gè dì,in all parts of (a country); various regions,各地都有美食。,Good food is available everywhere.
各个,gè gè,"every; various; separately, one by one",各个房间都很干净。,Every room is very clean.
各位,gè wèi,"everybody; all (guests, colleagues etc); all of you",各位请坐。,"Everyone, please sit down."
各种,gè zhǒng,every kind of; all kinds of; various,我喜欢各种水果。,I like all kinds of fruit.
各自,gè zì,each; respective; apiece,我们各自回家。,We each go home.
给,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),我给你一本书。,I'll give you a book.
给予,jǐ yǔ,(literary) to give; to accord; to render,他给予我帮助。,He gives me help.
根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; radical (chemistry)",给我一根绳子。,Give me a rope.
根本,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all,我根本不知道。,I don't know at all.
根据,gēn jù,according to; based on; basis; foundation,根据天气，带伞吧。,"According to the weather, bring an umbrella."
跟,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),你跟我走。,Come with me.
跟踪,gēn zōng,to follow sb's tracks; to tail; to shadow; tracking,他在跟踪我。,He is following me.
更,gēng,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),都三更了，睡吧。,"It's past midnight, go to sleep."
更加,gèng jiā,more (than sth else); even more,我更加喜欢它了。,I like it even more now.
工厂,gōng chǎng,factory,我在工厂工作。,I work at a factory.
工程,gōng chéng,engineering; an engineering project; project; undertaking,我们在做新工程。,We are working on a new project.
工具,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),这是个好工具。,This is a good tool.
工人,gōng rén,worker,我爸爸是工人。,My dad is a worker.
工业,gōng yè,industry,中国工业很强。,China's industry is very strong.
工资,gōng zī,wages; pay,你工资多少？,How much is your salary?
工作,gōng zuò,to work; (of a machine) to operate; job; work; task,我明天去工作。,I will go to work tomorrow.
公,gōng,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 位; honorable (gentlemen); father-in-law; male (animal)",他做事很公平。,He is very fair.
公布,gōng bù,to announce; to make public; to publish,学校公布了成绩。,The school announced the grades.
公共,gōng gòng,public; common; communal,这是公共汽车。,This is a bus.
公开,gōng kāi,open; overt; public; to make public; to release,结果已公开。,The results are public.
公里,gōng lǐ,kilometer,学校离我家三公里。,The school is three kilometers from my home.
公路,gōng lù,highway; road,我们走公路吧。,Let's take the highway.
公民,gōng mín,citizen,我是中国公民。,I am a Chinese citizen.
公平,gōng píng,fair; impartial,这很公平。,This is fair.
公司,gōng sī,company; firm; corporation,我在公司上班。,I work at a company.
公寓,gōng yù,apartment building; block of flats,我住在公寓里。,I live in an apartment.
公园,gōng yuán,park (for public recreation),我们去公园吧。,Let's go to the park.
公正,gōng zhèng,just; fair; equitable,法官很公正。,The judge is very fair.
公众,gōng zhòng,public,这是给公众看的。,This is for the public to see.
公主,gōng zhǔ,princess,我想当公主。,I want to be a princess.
功夫,gōng fu,skill; art; kung fu; labor; effort,他花了不少功夫。,He put in a lot of effort.
功能,gōng néng,function; capability,这个功能很好用。,This function is very easy to use.
攻击,gōng jī,to attack; to accuse; to charge; an attack (terrorist or military),别在网上乱攻击。,Don't attack randomly online.
供,gōng,to provide; to supply,公司供午餐。,The company provides lunch.
供应,gōng yìng,to supply; to provide; to offer,我们供应热水。,We provide hot water.
宫,Gōng,surname Gong,宫老师来了。,Teacher Gong is here.
恭喜,gōng xǐ,to congratulate; (interj.) congratulations!,恭喜你考上大学！,Congratulations on getting into university!
共,gòng,"common; general; to share; together; total; altogether; abbr. for 共产党, Communist party",费用共两百元。,The total cost is two hundred yuan.
共同,gòng tóng,common; joint; jointly; together; collaborative,让我们共同努力吧。,Let's work together.
贡献,gòng xiàn,to contribute; to dedicate; to devote; contribution,他为社会做贡献。,He contributes to society.
沟通,gōu tōng,to join; to connect; to link up; to communicate,我们需要多沟通。,We need to communicate more.
狗,gǒu,dog,我喜欢狗。,I like dogs.
购买,gòu mǎi,to purchase; to buy,我想购买这本书。,I want to buy this book.
购物,gòu wù,shopping,我喜欢购物。,I like shopping.
够,gòu,enough (sufficient); enough (too much); (coll.) (before adj.) really; (coll.) to reach by stretching out,钱够了吗？,Is there enough money?
估计,gū jì,to estimate; to reckon; (coll.) to suppose,我估计他明天到。,I guess he'll arrive tomorrow.
姑娘,gū niang,girl; young woman; young lady; daughter; paternal aunt (old),那位姑娘很漂亮。,That girl is very pretty.
孤单,gū dān,lone; lonely; loneliness,我一个人很孤单。,I feel lonely by myself.
孤独,gū dú,lonely; solitary,我很孤独。,I am lonely.
古,Gǔ,surname Gu,我姓古。,My surname is Gu.
股,gǔ,"thigh; part of a whole; portion of a sum; (stock) share; strand of a thread; low-level administrative unit, translated as ""section"" or ""department"" etc, ranked below 科; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions",我闻到一股香味。,I can smell a whiff of fragrance.
股票,gǔ piào,share certificate; stock (finance),我想买股票。,I want to buy stocks.
鼓励,gǔ lì,to encourage,老师鼓励我。,My teacher encourages me.
固定,gù dìng,to fix; to fasten; to set rigidly in place; fixed; set; regular,价格固定吗？,Is the price fixed?
故事,gù shì,old practice,我喜欢听故事。,I like listening to stories.
故意,gù yì,deliberately; on purpose,他不是故意的。,He didn't do it on purpose.
顾客,gù kè,customer; client,这位顾客很友好。,This customer is very friendly.
顾问,gù wèn,adviser; consultant,我爸爸是顾问。,My dad is a consultant.
刮,guā,to scrape; to blow; to shave; to plunder; to extort,外面在刮大风。,The wind is blowing hard outside.
挂,guà,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned; to make a phone call (dialect); to register or record; classifier for sets or clusters of objects; (slang) to kill; to die; to be finished; to fail (an exam),我挂电话了。,I'm hanging up the phone.
乖,guāi,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal",这孩子真乖。,This child is really well-behaved.
怪,guài,bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather,这天气真怪。,The weather is really strange.
关,Guān,surname Guan,我姓关。,My surname is Guan.
关闭,guān bì,"to close; to shut (a window etc); (of a shop, school etc) to shut down",请关闭窗户。,Please close the window.
关键,guān jiàn,crucial point; crux; key; crucial; pivotal,沟通是关键。,Communication is key.
关系,guān xi,relation; relationship; to concern; to affect; to have to do with; guanxi,我们关系很好。,We have a good relationship.
关心,guān xīn,to be concerned about; to care about,妈妈很关心我。,Mom cares about me.
关于,guān yú,pertaining to; concerning; with regard to; about; a matter of,关于这个，我知道了。,I understand regarding this.
关注,guān zhù,to pay attention to; to follow sth closely; to follow (on social media); concern; interest; attention,我关注你的账号。,I follow your account.
