Vocab,Pinyin,Meaning,Example,Example_Meaning
德,Dé,Germany; German; abbr. for 德国,他刚从德回国，带回了大量精密仪器。,"He just returned from Germany, bringing back a large amount of precision instruments."
地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",他认真地完成了老师布置的任务。,He carefully completed the task assigned by the teacher.
地板,dì bǎn,floor,请小心，地板刚拖过，非常滑。,"Please be careful, the floor was just mopped and is very slippery."
地点,dì diǎn,place; site; location; venue,请提前确认一下活动的具体地点，以免到时候走错。,Please confirm the specific location of the event in advance so you don't end up going to the wrong place.
地方,dì fāng,region; regional (away from the central administration); local,地方政府可以根据本地的实际情况制定相关政策。,The local government can formulate relevant policies based on actual local conditions.
地面,dì miàn,floor; ground; surface,雨下得太大，人行道上的地面已经积水了。,It rained so heavily that the ground on the sidewalk is already covered with water.
地球,dì qiú,the earth,保护地球是每个公民的责任。,Protecting the Earth is everyone's responsibility.
地区,dì qū,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)",近年来，这个地区经济发展迅速，基础设施也日益完善。,"In recent years, the economy of this region has grown rapidly, and its infrastructure has been continuously improving."
地上,dì shang,on the ground; on the floor,我不小心把钥匙掉在地上了。,I accidentally dropped my keys on the floor.
地铁,dì tiě,underground railway; subway; subway train,为了避开早高峰的拥堵，我每天早晨都坐地铁去公司。,"To avoid rush hour traffic, I take the subway to the office every morning."
地图,dì tú,map,请帮我看看这张地图，找出从酒店到火车站的最佳路线。,Please help me look at this map and find the best route from the hotel to the train station.
地位,dì wèi,position; status; place,他凭借多年的专业经验，在团队中赢得了重要的地位。,"Thanks to years of professional experience, he has earned an important position within the team."
地下,dì xià,underground; subterranean; covert,这家商场的地下停车场很大，周末去停车非常方便。,"The shopping mall's underground parking lot is quite large, making it very convenient to park there on weekends."
地震,dì zhèn,earthquake,昨天下午这里发生了一次轻微的地震，但幸运的是没有人受伤。,"A minor earthquake occurred here yesterday afternoon, but fortunately no one was injured."
地址,dì zhǐ,address,我在网上注册账号时，系统要求我填写详细的居住地址。,"When registering an account online, the system required me to fill in my detailed residential address."
的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,她是我最好的朋友。,She is my best friend.
的话,de huà,if (coming after a conditional clause),你明天有空的话，我们一起去喝咖啡吧。,"If you're free tomorrow, let's go get coffee together."
的确,dí què,really; indeed,这家餐厅的菜味道的确很好。,The food at this restaurant is really good.
得,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,经过不懈的努力，他终于得到了梦寐以求的工作机会。,"Through relentless effort, he finally obtained the job opportunity he had long dreamed of."
得到,dé dào,to get; to obtain; to receive,经过反复练习，她终于得到了客户的认可。,"After repeated practice, she finally received the client's approval."
得分,dé fēn,to score,在昨天的篮球比赛中，他通过一次精准的三分球成功得分。,"In yesterday's basketball game, he successfully scored with a precise three-pointer."
得了,dé le,all right!; that's enough!,行了，得了，你别再解释了，我明白你的意思了。,"All right, that's enough! I understand what you mean."
得知,dé zhī,to find out; to learn of,我得知明天航班取消后，立即联系了航空公司改签。,"After I found out that tomorrow's flight was canceled, I immediately contacted the airline to rebook it."
灯,dēng,lamp; light; lantern,晚上学习时，请把书桌上的灯打开。,"When studying at night, please turn on the lamp on your desk."
登,dēng,to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on; to put on (shoes or trousers) (dialect); to be gathered and taken to the threshing ground (old),经过五个小时的攀爬，我们终于登上了山顶。,"After five hours of climbing, we finally reached the summit."
登记,dēng jì,to register (one's name),入住酒店时，请在前台登记您的姓名。,"When checking into the hotel, please register your name at the front desk."
等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,等我们吃完晚饭，就一起去看电影吧。,"as soon as / after (conjunction usage)
English translation: As soon as we finish dinner, let's go watch a movie together."
等待,děng dài,to wait; to wait for,我们在咖啡馆里耐心等待朋友的到来。,We are patiently waiting at the café for our friend to arrive.
等于,děng yú,to equal; to be tantamount to,在竞争激烈的职场中，停止学习就等于落后于人。,"In a highly competitive workplace, stopping learning is tantamount to falling behind others."
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,听到老师的批评后，他羞愧地低下了头。,to lower (one's head)
滴,dī,a drop; to drip,水龙头没关紧，水正不停地往下滴。,"The faucet isn't closed tightly, and water keeps dripping down."
敌人,dí rén,enemy,懒惰是我们成功路上最大的敌人。,Laziness is the biggest enemy on the path to success.
底,de,(equivalent to 的 as possessive particle),他底的梦想是成为一名建筑师。,His dream is to become an architect.
弟弟,dì di,younger brother,我弟弟今年八岁，他最喜欢在周末去公园骑自行车。,My younger brother is eight years old; he loves riding his bike at the park on weekends.
第,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",他在这次比赛中获得了第三名，非常开心。,He won third place in this competition and was very happy.
