Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
急,jí,urgent,别着急，慢慢来。,"Don't worry, take your time.","<img src=""urgent.jpg"" />"
疾病,jí bìng,disease; sickness; ailment,这种疾病不严重。,This illness is not serious.,"<img src=""disease.jpg"" />"
集,jí,to gather,这集很好看。,This episode is great.,"<img src=""gather.jpg"" />"
集体,jí tǐ,collective (decision),我们集体决定吧。,Let's decide as a group.,
集团,jí tuán,group,他在一家大集团工作。,He works at a big corporation.,
集中,jí zhōng,to concentrate,请大家集中注意力。,Please focus your attention.,"<img src=""concentrate.jpg"" />"
几,jī,small table,客厅有个小几。,There is a small table in the living room.,
几乎,jī hū,almost; nearly; practically,我几乎忘了。,I almost forgot.,
挤,jǐ,to crowd in,他挤进人群。,He squeezed into the crowd.,"<img src=""crowd.jpg"" />"
计划,jì huà,plan,我的计划是去北京。,My plan is to go to Beijing.,
计算,jì suàn,to calculate; to compute,我来计算一下。,Let me calculate it.,
计算机,jì suàn jī,computer,我的计算机坏了。,My computer is broken.,
记,jì,to record,我记住了。,I remember it now.,
记得,jì de,to remember,我记得你。,I remember you.,
记录,jì lù,to record,请记录一下。,Please record it.,
记忆,jì yì,to remember; to recall,这段记忆很美好。,This memory is very beautiful.,
记者,jì zhě,reporter; journalist,他是记者。,He is a reporter.,"<img src=""journalist.jpg"" />"
记住,jì zhu,to remember,请一定记住。,Please make sure to remember.,
纪念,jì niàn,to commemorate; to honor the memory of,买它做纪念。,Buy it as a souvenir.,"<img src=""honor.jpg"" />"
技巧,jì qiǎo,skill,做饭也有技巧。,Cooking also has its techniques.,
技术,jì shù,technology; technique; skill,他的技术很好。,His skills are very good.,"<img src=""technology.jpg"" />"
剂,jì,(bound form) a compound made by mixing ingredients (esp. a medicinal or chemical product),请给我一剂药。,Please give me a dose of medicine.,"<img src=""chemical.jpg"" />"
既,jì,already,他既聪明又努力。,He is both smart and hardworking.,"<img src=""already.jpg"" />"
既然,jì rán,since; as; this being the case,既然下雨，就不去了。,"Since it's raining, we won't go.",
继续,jì xù,to continue; to proceed with; to go on with,我们继续走吧。,Let's keep going.,"<img src=""proceed.jpg"" />"
寂寞,jì mò,lonely,他觉得很寂寞。,He feels very lonely.,
寄,jì,to entrust; to place in sb's care,我寄了一封信。,I mailed a letter.,
加,Jiā,Canada (abbr. for 加拿大[Jia1 na2 da4]),请加一点糖。,Please add a little sugar.,
加快,jiā kuài,to accelerate; to speed up; to hasten,请加快脚步吧。,Please hurry up.,"<img src=""accelerate.jpg"" />"
加强,jiā qiáng,to reinforce; to strengthen; to enhance,我们要加强锻炼。,We need to exercise more.,"<img src=""reinforce.jpg"" />"
加入,jiā rù,to become a member,我想加入你们。,I want to join you.,
加上,jiā shàng,plus,加上我，一共五人。,Add me to make five people in total.,
加速,jiā sù,to accelerate; to speed up; to expedite,我们需要加速。,We need to speed up.,
加油,jiā yóu,to add oil; to top up with gas; to refuel,大家一起加油！,Let's all do our best.,"<img src=""oil.jpg"" />"
夹,jiā,used in 夾肢窩|夹肢窝[ga1 zhi5 wo1],我把钱夹在书里。,I put money between the book pages.,
家,jiā,used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4],我回家吃饭。,I go home to eat.,
家里,jiā lǐ,home,我在家里等你。,I am waiting for you at home.,
家人,jiā rén,family member,我家人都在家。,My family is all at home.,"<img src=""family.jpg"" />"
家庭,jiā tíng,family; household,我的家庭很幸福。,My family is very happy.,
家长,jiā zhǎng,head of a household,家长来了吗？,Is the parent here?,
家族,jiā zú,family,我的家族很大。,My family is large.,
甲,jiǎ,first of the ten Heavenly Stems 十天干[shi2 tian1 gan1],我们选甲吧。,We'll choose A.,
假,gēi,used in 假掰[gei1 bai1],今天放假。,Today is a holiday.,
假如,jiǎ rú,if,假如你饿了，就吃吧。,"If you're hungry, just eat.",
价,jià,(literary) messenger; servant,这个价很合理。,This price is very reasonable.,"<img src=""messenger.jpg"" />"
价格,jià gé,price,这个价格很便宜。,This price is very cheap.,
价值,jià zhí,value; worth,这本书很有价值。,This book is very valuable.,"<img src=""worth.jpg"" />"
驾驶,jià shǐ,"to drive (vehicle); to pilot (ship, airplane etc)",我会驾驶汽车。,I can drive a car.,
架,jià,to support,我买了一架收音机。,I bought a radio.,
嫁,jià,(of a woman) to marry,她明年要嫁人。,She will get married next year.,
坚持,jiān chí,to persevere with,请坚持每天练习。,Please keep practicing every day.,
坚强,jiān qiáng,staunch,他真的很坚强。,He is really strong.,
间,jiān,between,这间房很大。,This room is big.,
艰难,jiān nán,difficult,生活很艰难。,Life is hard.,
监督,jiān dū,to supervise; to oversee; to inspect,妈妈监督我学习。,Mom supervises my studying.,"<img src=""inspect.jpg"" />"
监控,jiān kòng,to monitor,请监控摄像头。,Please monitor the camera.,"<img src=""monitor.jpg"" />"
监狱,jiān yù,prison,他进了监狱。,He went to prison.,
减,jiǎn,to lower,请减一点盐。,Please reduce the salt a bit.,"<img src=""lower.jpg"" />"
减肥,jiǎn féi,to lose weight,我在减肥。,I am losing weight.,"<img src=""weight.jpg"" />"
减少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower,我们需要减少开支。,We need to reduce expenses.,"<img src=""decrease.jpg"" />"
检测,jiǎn cè,to test; to detect,请检测一下体温。,Please check your temperature.,"<img src=""detect.jpg"" />"
检查,jiǎn chá,inspection,我检查一下。,Let me check it.,
检验,jiǎn yàn,to inspect,请检验产品质量。,Please inspect the product quality.,
简单,jiǎn dān,simple; not complicated,这道题很简单。,This question is very simple.,
简直,jiǎn zhí,simply; really,这简直太好了。,This is simply great.,
见,jiàn,to see,我们明天见。,See you tomorrow.,
见到,jiàn dào,to see,我终于见到你了！,I finally saw you!,
见面,jiàn miàn,to meet; to see each other,我们明天见面吧。,Let's meet tomorrow.,
件,jiàn,item,我买了一件衣服。,I bought a piece of clothing.,"<img src=""item.jpg"" />"
建,jiàn,to establish,我们打算建个公园。,We plan to build a park.,
建立,jiàn lì,to establish,我想建立友谊。,I want to build friendship.,
建议,jiàn yì,to propose; to suggest; to recommend,你的建议很好。,Your suggestion is good.,"<img src=""recommend.jpg"" />"
建造,jiàn zào,to construct; to build,我们建造了新房子。,We built a new house.,"<img src=""construct.jpg"" />"
建筑,jiàn zhù,to construct,我喜欢这座建筑。,I like this building.,
剑,jiàn,double-edged sword,这把剑很锋利。,This sword is very sharp.,"<img src=""double.jpg"" />"
健康,jiàn kāng,health,他看起来很健康。,He looks very healthy.,"<img src=""health.jpg"" />"
将,jiāng,will,明天将下雨。,It will rain tomorrow.,
将军,Jiāng jūn,(common place name),我们去将军玩吧。,Let's go to Jiangjun for fun.,
将来,jiāng lái,in the future,我将来想当老师。,I want to be a teacher in the future.,
讲,jiǎng,to speak,他爱讲笑话。,He loves telling jokes.,
讲话,jiǎng huà,a speech,他在讲话。,He is speaking.,"<img src=""speech.jpg"" />"
奖,jiǎng,prize; award; bonus; reward,他得了一个奖。,He won a prize.,"<img src=""reward.jpg"" />"
奖金,jiǎng jīn,premium,公司发了奖金。,The company gave us a bonus.,"<img src=""premium.jpg"" />"
奖励,jiǎng lì,to reward,老师奖励了我一颗糖。,The teacher rewarded me with a candy.,
降,jiàng,to drop,今天气温降了。,The temperature dropped today.,"<img src=""drop.jpg"" />"
降低,jiàng dī,to reduce; to lower; to bring down,请降低音量。,Please lower the volume.,"<img src=""reduce.jpg"" />"
交,jiāo,to hand over; to deliver; to pay (money); to turn over,请交作业。,Please hand in the homework.,"<img src=""deliver.jpg"" />"
交给,jiāo gěi,to give; to deliver; to hand over,请把作业交给老师。,Please hand the homework to the teacher.,
交换,jiāo huàn,to exchange,我们交换礼物吧。,Let's exchange gifts.,
交流,jiāo liú,to exchange,我们多交流吧。,Let's communicate more.,
交通,jiāo tōng,to be connected,这里的交通很方便。,Transportation here is very convenient.,
交往,jiāo wǎng,to associate (with),我们交往三年了。,We have been dating for three years.,
交易,jiāo yì,to deal; to trade; to transact,我们做了一笔交易。,We made a deal.,"<img src=""deal.jpg"" />"
骄傲,jiāo ào,pride,我为你骄傲。,I am proud of you.,"<img src=""pride.jpg"" />"
角度,jiǎo dù,angle,换个角度想吧。,Think from a different point of view.,"<img src=""angle.jpg"" />"
角色,jué sè,role; part (in a play or movie etc),你的角色很重要。,Your role is very important.,
脚,jiǎo,foot,我的脚很疼。,My foot hurts.,
叫,jiào,to shout,你叫什么名字？,What is your name?,"<img src=""shout.jpg"" />"
轿车,jiào chē,(old) enclosed carriage for carrying passengers,我坐轿车去公司。,I take a car to the office.,"<img src=""carriage.jpg"" />"
较,jiào,(bound form) to compare,这个较好。,This one is better.,
教练,jiào liàn,to coach; to train,他是篮球教练。,He is a basketball coach.,"<img src=""coach.jpg"" />"
教师,jiào shī,teacher,我想当一名教师。,I want to be a teacher.,
教授,jiào shòu,to teach (a subject),他是大学教授。,He is a university professor.,
教训,jiào xun,to provide guidance; to lecture sb; to upbraid,记住这次教训。,Remember this lesson.,"<img src=""guidance.jpg"" />"
教育,jiào yù,to educate,教育很重要。,Education is very important.,
阶段,jiē duàn,stage,工作进入新阶段了。,Work has entered a new stage.,"<img src=""stage.jpg"" />"
皆,jiē,all,大家皆同意。,Everyone agrees.,
接,jiē,to receive,我明天去接你。,I will pick you up tomorrow.,
接触,jiē chù,to touch,我想多接触中文。,I want to get more exposure to Chinese.,
接到,jiē dào,to receive (letter etc),我接到你的信了。,I received your letter.,
接近,jiē jìn,to approach; to get close to,我们快接近了。,We are almost there.,"<img src=""approach.jpg"" />"
接受,jiē shòu,"to accept (a suggestion, punishment, bribe etc); to acquiesce",我接受你的建议。,I accept your advice.,"<img src=""punishment.jpg"" />"
接下来,jiē xià lái,to accept,接下来怎么办？,What should we do next?,"<img src=""accept.jpg"" />"
接着,jiē zhe,to catch and hold on,我先吃饭，接着睡觉。,"I'll eat first, then sleep.",
街,jiē,street,这条街很长。,This street is very long.,
街道,jiē dào,street,街道很干净。,The street is very clean.,
节目,jié mù,(TV or radio) program; show,这个节目很有趣。,This program is very interesting.,
节日,jié rì,holiday,今天是什么节日？,What holiday is today?,"<img src=""holiday.jpg"" />"
结,jiē,(of a plant) to produce (fruit or seeds),树上结苹果了。,The tree is bearing apples.,
结构,jié gòu,structure,这篇文章的结构很好。,The structure of this article is good.,"<img src=""structure.jpg"" />"
结果,jiē guǒ,to bear fruit,我们看看结果。,Let's see the result.,
结合,jié hé,to combine,两者结合更好。,Combining both is better.,"<img src=""combine.jpg"" />"
结婚,jié hūn,to marry; to get married,我们明年结婚。,We will get married next year.,
结局,jié jú,conclusion; ending; outcome,故事的结局很好。,The ending of the story is good.,"<img src=""conclusion.jpg"" />"
结论,jié lùn,conclusion,别急着下结论。,Don't jump to conclusions.,
结束,jié shù,to end; to finish; to conclude,会议结束了。,The meeting is over.,"<img src=""conclude.jpg"" />"
解放,jiě fàng,to liberate,我们终于解放了。,We were finally liberated.,
解决,jiě jué,to solve; to resolve; to settle (a problem),这个问题怎么解决？,How do we solve this problem?,"<img src=""resolve.jpg"" />"
解释,jiě shì,explanation,你能解释吗？,Can you explain?,
介绍,jiè shào,to introduce (sb to sb),请介绍一下你自己。,Please introduce yourself.,
戒,jiè,to guard against,我要戒烟。,I want to quit smoking.,"<img src=""guard.jpg"" />"
届,jiè,to arrive at (place or time),我们是同届同学。,We are in the same graduating class.,
界,jiè,(bound form) boundary; border,这条线是国界。,This line is the border.,"<img src=""boundary.jpg"" />"
借,jiè,to borrow,你能借我钱吗？,Can you lend me some money?,"<img src=""borrow.jpg"" />"
姐,jiě,older sister,我姐很好。,My older sister is very nice.,
姐姐,jiě jie,older sister,我姐姐很漂亮。,My older sister is very pretty.,
姐妹,jiě mèi,sisters,我和姐妹去逛街。,I went shopping with my sister.,
今后,jīn hòu,hereafter,今后我会努力。,I will work hard from now on.,
今年,jīn nián,this year,今年天气很好。,The weather is very nice this year.,"<img src=""year.jpg"" />"
今日,jīn rì,today,今日天气很好。,The weather is very good today.,
今天,jīn tiān,today,今天天气很好。,The weather is nice today.,
金属,jīn shǔ,metal,这是金属做的。,This is made of metal.,"<img src=""metal.jpg"" />"
仅,jǐn,barely,仅用五分钟。,It takes only five minutes.,"<img src=""barely.jpg"" />"
仅仅,jǐn jǐn,barely,他仅仅说了一句话。,He only said one sentence.,
尽,jǐn,to the greatest extent,你尽力就好。,Just do your best.,"<img src=""extent.jpg"" />"
尽管,jǐn guǎn,despite,尽管下雨，我也要去。,"Although it is raining, I still want to go.","<img src=""despite.jpg"" />"
尽快,jǐn kuài,as quickly as possible; as soon as possible,请尽快回复。,Please reply as soon as possible.,
尽量,jǐn liàng,as much as possible,请尽量早点来。,Please come as early as possible.,
紧,jǐn,tight,衣服太紧了。,The clothes are too tight.,"<img src=""tight.jpg"" />"
紧急,jǐn jí,urgent,情况很紧急。,The situation is urgent.,
