Word,Meaning,Pinyin,Example,Translation
文化,văn hóa,wénhuà,越南文化,văn hoá Việt Nam
弹性,độ co giãn,tánxìng,弹性立场,thay đổi lập trường
果然,quả nhiên,guǒrán,果然名不虚传,quả là danh bất hư truyền
特点,đặc điểm,tèdiǎn,快餐的特点就是快。,đặc điểm của thức ăn nhanh là nhanh.
联盟,"vội vã, vội vàng",liánméng,工农联盟。,liên minh công nông.
稠密,dày đặc,chóumì,人烟稠密。,nhà cửa đông đúc.
热烈,"nhiệt liệt, sôi nổi",rèliè,热烈的掌声。,vỗ tay nhiệt liệt.
冻结,đông lại,dòngjié,冻结存款,khoản tồn đọng; đóng băng khoản tiền gửi.
心血,"tâm huyết, tâm sức",xīnxuè,费尽心血。,dốc hết tâm huyết.
跑步,chạy bộ,pǎobù,,
一共,"tất cả, tổng cộng",yīgòng,三个小组一共是十七个人。,tổng cộng ba nhóm có mười bảy người.
苦,đắng,kǔ,苦胆。,mật đắng.
嗅觉,khứu giác,xiùjué,政治嗅觉,sự nhạy cảm chính trị
毒品,thuốc phiện,dúpǐn,,
构成,"hình thành, cấu thành",gòuchéng,眼镜由镜片和镜架构成,kính do tròng kính và gọng kính tạo thành.
针对,"nhằm vào, chĩa vào",zhēnduì,针对儿童的心理特点进行教育。,nhằm vào đặc điểm tâm lý trẻ em để tiến hành giáo dục.
模样,"dáng dấp, dáng điệu",múyàng,这孩子的模样像他爸爸。,thằng bé này trông giống bố nó.
温带,ôn đới,wēndài,,
不相上下,ngang nhau,bù xiāng shàngxià,本领不相上下,bản lĩnh ngang nhau
寂寞,"vắng vẻ, cô đơn",jìmò,晚上只剩下我一个人在家里，真是寂寞。,"buổi tối, chỉ mỗi mình tôi ở nhà, thật là cô đơn lạnh lẽo."
光盘,CD,guāngpán,,
殖民地,thuộc địa,zhímíndì,,
光明,ánh sáng,guāngmíng,黑暗中的一线光明。,một tia sáng trong bóng tối.
会晤,"gặp gỡ, gặp mặt",huìwù,两国领导人会晤。,lãnh đạo hai nước gặp nhau.
盆,"chậu, bồn",pén,花盆儿。,chậu hoa.
执照,giấy phép,zhízhào,施工执照,giấy phép thi công.
年级,lớp,niánjí,我在三年级学习。,Tôi học lớp ba.
培育,"bồi dưỡng, đào tạo",péiyù,培育树苗。,chăm chút cây con.
汇报,báo cáo,huìbào,听汇报,nghe báo cáo
口音,"khẩu âm, giọng",kǒuyīn,听他的口音， 好像是河内人。,"nghe giọng anh ấy, dường như là người Hà Nội."
事物,"điều,vật, thứ",shìwù,,
顽固,bướng bỉnh,wángù,顽固守旧。,ngoan cố thủ cựu.
无论,bất kể,wúlùn,无论任务怎么艰巨，我们一定要把它完成。,"bất kể nhiệm vụ khó khăn nặng nề đến đâu, chúng ta cũng nhất định hoàn thành."
仍然,còn,réngrán,他仍然保持着老红军艰苦奋斗的作风。,anh ấy vẫn giữ lại tác phong phấn đấu gian khổ của người cựu hồng quân.
开始,bắt đầu,kāishǐ,新的一年开始了。,bắt đầu một năm mới rồi.
象棋,cờ tướng,xiàngqí,,
艘,"chiếc, con (tàu, thuyền)",sōu,五艘远洋货轮。,năm chiếc tàu viễn dương chở hàng.
桥梁,cầu,qiáoliáng,桥梁作用。,tác dụng của cầu nối.
谈,nói chuyện,tán,漫谈,mạn đàm
谁,ai,shéi,你找谁?,anh tìm ai?
日新月异,biến chuyển từng ngày,rìxīnyuèyì,,
体会,"lĩnh hội,nhận thức",tǐhuì,只有深入群众，才能真正体会群众的思想感情。,"chỉ có xâm nhập vào quần chúng, mới hiểu đúng cảm tình, tư tưởng của quần chúng."
埋伏,mai phục,máifú,中埋伏。,rơi vào ổ mai phục.
力量,sức mạnh,lìliàng,人多力量大。,người đông sức mạnh.
任命,bổ nhiệm,rènmìng,,
反而,"trái lại, ngược lại",fǎn'ér,风不但没停，反而越来越大了。,gió không những không ngừng mà trái lại càng mạnh thêm.
狮子,sư tử,shīzi,,
心理,tâm lý,xīnlǐ,工作顺利就高兴，这是一般人的心理。,"công việc thuận lợi thì vui mừng, đây là tâm lý chung của mọi người."
响亮,vang dội,xiǎngliàng,歌声响亮。,tiếng hát vang dội.
繁华,"phồn hoa, sầm uất",fánhuá,王府井是北京繁华的商业街。,Vương Phủ Tỉnh là con đường buôn bán sầm uất ở Bắc Kinh.
舰艇,chiến hạm,jiàntǐng,,
诽谤,"nói xấu, phỉ báng, gièm pha",fěibàng,恶意诽谤,cố ý phỉ báng
连年,liên tục nhiều năm,liánnián,连年大丰收。,nhiều năm liền bội thu.
贼,kẻ trộm,zéi,工贼,công nhân làm tay sai cho giai cấp tư sản.
认定,"cho rằng, nhận định",rèndìng,马克思主义认定一切事物都是在矛盾中不断向前发展的。,chủ nghĩa Mác cho rằng tất cả mọi sự vật đều không ngừng phát triển trong mâu thuẫn nội tại của chúng.
职位,chức vị,zhíwèi,重要的职位。,chức vị quan trọng.
录取,"tuyển chọn, nhận vào",lùqǔ,择优录取。,tuyển chọn những người ưu tú.
失去,mất,shīqù,失去知觉。,mất tri giác.
更加,"càng, thêm, hơn nữa",gèngjiā,公家的书，应该更加爱护。,sách công càng cần phải giữ gìn tốt hơn.
议论,"thảo luận,bàn luận",yìlùn,议论纷纷,bàn bạc xôn xao
了不起,"tài ba, giỏi lắm",liǎobùqǐ,他的本事真了不起。,bản lĩnh của anh ấy thật cừ.
过瘾,"thỏa nguyện, đã nghiền, say đắm",guòyǐn,这段唱腔优美，听起来真过瘾。,"giọng hát đoạn này ngọt ngào, nghe đã ghiền quá."
物理,vật lý,wùlǐ,,
注重,"coi trọng,chú trọng",zhùzhòng,注重调查研究。,coi trọng điều tra nghiên cứu
终身,suốt đời,zhōngshēn,终身之计,chuyện trăm năm; kế sách cả đời.
价格,giá cả,jiàgé,,
那,"điều đó, vậy",nà,那老头儿。,ông lão ấy.
招待,chiêu đãi,zhāodài,招待客人,chiêu đãi khách
夹杂,"xen lẫn, pha trộn",jiázá,脚步声和笑语声夹杂在一起。,tiếng bước chân và tiếng cười nói xen lẫn nhau.
目前,hiện nay,mùqián,目前形势。,tình thế trước mắt.
害羞,"nhát, xấu hổ",hàixiū,她是第一次当众讲话，有些害羞。,"đây là lần đầu tiên cô ấy nói chuyện trước đám đông, nên có phần thẹn thùng."
都市,đô thị,dūshì,,
寒假,kỳ nghỉ đông,hánjià,,
干预,"tham dự, tham gia, can dự",gānyù,,
家属,người nhà,jiāshǔ,,
表达,"biểu đạt, hiểu hiện",biǎodá,,
刹车,"phanh, thắng xe",shāchē,,
比方,"ví, so sánh, so bì",bǐfāng,他的坚贞不屈的品德，只宜用四季常青的松柏来比方,phẩm chất kiên trinh bất khuất của anh ấy chỉ có thể thông bách xanh tươi bốn mùa mới sánh được.
组合,tổ hợp,zǔhé,这本集子是由诗、散文和短篇小说三部分组合而成的。,"tập sách này gồm ba phần thơ, tản văn và truyện ngắn hợp thành."
宴会,tiệc,yànhuì,举行盛大宴会,mở tiệc long trọng; mở tiệc linh đình.
刷牙,chải răng,shuāyá,,
调解,hòa giải,tiáojiě,调解人,người hoà giải
饿,đói,è,牲口多拉几趟不要紧，可别饿着它。,gia súc kéo thêm vài chuyến nữa cũng không sao nhưng đừng bỏ đói chúng.
投票,bỏ phiếu,tóupiào,,
慰问,thăm hỏi,wèiwèn,慰问信,thư thăm hỏi
实际,thực tế,shíjì,一切从实际出发。,tất cả xuất phát từ thực tế.
发扬,"nêu cao, phát huy",fāyáng,发扬光大,phát huy truyền thống
尝,nếm,cháng,尝尝咸淡。,nếm xem vừa chưa
画,bức tranh,huà,画山水,vẽ tranh sơn thuỷ
沼泽,đầm lầy,zhǎozé,,
把握,"cầm, nắm,nắm bắt",bǎwò,战士把握着武器,chiến sĩ cầm chắc tay súng
此外,ngoài ra,cǐwài,院子里种着两棵玉米和两棵海棠，此外还有几丛月季。,"trong vườn trồng hai cây bắp, hai cây hải đường, ngoài ra còn có mấy bụi hoa hồng."
咬,cắn,yǎo,咬紧牙关。,cắn chặt răng; cắn răng chịu đựng.
膝盖,đầu gối,xīgài,,
面包,bánh mì,miànbāo,,
搜索,tìm kiếm,sōusuǒ,搜索残敌。,lùng tìm tàn quân địch.
边境,biên giới,biānjìng,封锁边境。,phong toả vùng biên giới
为难,làm khó,wéinán,为难的事,việc khó xử
可能,có thể,kěnéng,可能性。,tính khả thi.
冠军,"quán quân, chức vô địch",guànjūn,,
腐朽,"mục nát, hủ bại, sa đọa",fǔxiǔ,埋在地里的木桩都腐朽了。,gỗ chôn dưới đất lâu ngày đều bị mục nát.
亦,cũng,yì,反之亦 然,ngược lại cũng vậy
辣椒,ớt,làjiāo,,
赤字,"thiếu hụt, bội chi",chìzì,,
毫米,milimet,háomǐ,,
立足,"dừng chân, chỗ dựa, chỗ đứng",lìzú,立足之地。,chỗ đứng.
怀疑,nghi ngờ,huáiyí,他的话叫人怀疑。,người ta nghi ngờ lời nói của anh ấy.
烂,"nát, thối rữa",làn,烂泥。,bùn nhão.
得罪,đắc tội,dézuì,出言不逊，多有得罪。,"nói năng không khiêm tốn, làm mất lòng người khác."
二氧化碳,CO2,èryǎnghuàtàn,,
文具,văn phòng phẩm,wénjù,,
牙膏,kem đánh răng,yágāo,,
避免,tránh,bìmiǎn,看问题要客观、全面，避免主观、片面。,"xem xét vấn đề cần khách quan, toàn diện, tránh chủ quan, phiến diện"
巧克力,socola,qiǎokèlì,,
法律,pháp luật,fǎlǜ,,
愿望,"nguyện vọng, mong muốn",yuànwàng,主观愿望,nguyện vọng (nguyện vọng chủ quan)
蹲,ngồi xổm,dūn,蹲 了腿。,bị sái chân.
英俊,"anh tuấn, khôi ngôi tuấn tú",yīngjùn,英俊有为,tài năng đầy hứa hẹn
庄重,trang trọng,zhuāngzhòng,态度庄重,thái độ trang trọng
星期,"thứ, tuần",xīngqí,星期日。,ngày chủ nhật
废除,"bãi bỏ, hủy bỏ",fèichú,废除农奴制。,xoá bỏ chế độ nông nô
供给,cung cấp,gōngjǐ,学习用品由训练班免费供给。,đồ dùng học tập đều do lớp huấn luyện cung cấp miễn phí.
生疏,mới lạ,shēngshū,人地生疏。,lạ nước lạ cái.
显著,"rõ rệt, nổi bật",xiǎnzhù,我国社会主义建设已经取得显著成就。,công cuộc xây dựng chủ nghĩa xã hội ở nước ta đã đạt được những thành tựu nổi bật.
摆,"xếp đặt,bày biện",bǎi,把东西摆好,sắp xếp xong mọi thứ
极,"cực, cao nhất",jí,登峰造极。,trèo lên đỉnh cao; điêu luyện.
参与,tham dự,cānyù,参与其事。,tham dự chuyện đó
跳舞,"nhảy múa, nhảy",tiàowǔ,,
贩卖,"bán hàng, buôn bán",fànmài,贩卖干鲜果品,bán trái cây tươi và khô.
目的,mục đích,mùdì,,
揭露,phơi bày,jiēlù,揭露矛盾。,vạch trần mâu thuẫn.
泼,"hắt, giội, vẩy ( nước)",po,扫地时，泼一点水，免得尘土飞扬。,"lúc quét sân, vẩy một ít nước để tránh bụi."
忍耐,"kiên nhẫn, nhẫn lại",rěnnài,,
报到,"báo cáo có mặt, trình diện",bàodào,,
偿还,"trả nợ, bồi hoàn",chánghuán,,
躺,nằm,tǎng,躺在地头休息。,nằm xuống đất nghỉ.
观众,"khán giả,  người xem",guānzhòng,电视观众,khán giả truyền hình
借助,"nhờ vào, cậy vào",jièzhù,要看到极远的东西，就得借助于望远镜。,"muốn nhìn được những cái cực xa, thì phải nhờ đến kính viễn vọng."
浸泡,"ngâm, nhúng, dìm",jìnpào,浸泡棉籽。,ngâm hạt bông.
初步,"sơ bộ,bước đầu",chūbù,提出初步意见。,nêu ý kiến sơ bộ.
合乎,"phù hợp, hợp với",héhū,合乎事实,hợp với thực tế
秃,"trọc, trụi",tū,秃尾巴,đuôi trụi
神经,thần kinh,shénjīng,,
隆重,"long trọng, linh đình",lóngzhòng,隆重的典礼。,buổi lễ long trọng.
蓝,màu xanh lam,lán,蔚蓝。,xanh tốt.
强调,nhấn mạnh,qiángdiào,我们强调自力更生。,chúng ta nhấn mạnh tự lực cánh sinh.
唱歌,hát,chànggē,,
优美,đẹp,yōuměi,风景优美,phong cảnh tươi đẹp
西红柿,cà chua,xīhóngshì,,
制度,chế độ,zhìdù,工作制度,chế độ công tác
留神,"lưu ý, để ý cẩn thạn",liúshén,留点儿神留神，可别上当。,"chú ý một chút, đừng để bị mặc lừa."
批评,"phê bình, chỉ trích",pīpíng,,
利率,lãi xuất,lìlǜ,,
元宵节,tết Nguyên Tiêu,yuánxiāo jié,,
冷酷,"cay nghiệt, ác nghiệt",lěngkù,冷酷无情。,"phũ phàng; đối xử lạnh lùng hà khắc, không có tình người."
及早,"nhanh chóng, sớm",jízǎo,生了病要及早治。,có bệnh phải nhanh chóng điều trị.
严寒,lạnh,yánhán,天气严寒,khí hậu giá lạnh
素质,tố chất,sùzhì,提高军事素质。,thường xuyên nâng cao trình độ quân sự.
平静,yên lặng,píngjìng,激动的心情久久不能平静。,tâm trạng kích động mãi không thể yên ổn lại được.
周转,quay vòng (đồng vốn),zhōuzhuǎn,周转期。,thời gian quay vòng vốn.
处分,trừng phạt,chǔfèn,,
厚,dầy,hòu,厚木板,tấm ván dày
潮流,trào lưu,cháoliú,革命潮流。,trào lưu cách mạng.
手法,"thủ pháp, bút pháp",shǒufǎ,两面手法。,thủ đoạn hai mặt; con dao hai lưỡi.
刺,"đâm, chọc, chích",cì,刺 的一声，滑了一个跟头。,trượt chân ngã oạch một cái.
知道,biết,zhīdào,他知道的事情很多。,những việc anh ấy biết thì rất nhiều.
遏制,"kiềm chế, ngăn chặn",èzhì,,
踊跃,"nhảy nhót, nhảy lên",yǒngyuè,踊跃欢呼,nhảy lên hoan hô
喘气,"thở dốc, thở sâu, hổn hển",chuǎnqì,跑得喘不过气来。,chạy thở không ra hơi.
国际,quốc tế,guójì,国际协定,hiệp định quốc tế
腐败,"mục nát, hủ bại, thối rữa",fǔbài,木材涂上油漆，可以防止腐败。,dùng sơn sơn lên gỗ có thể chống được mục.
加油站,trạm đổ xăng,jiāyóu zhàn,,
从容不迫,"chậm rãi, không vội vàng",cóngróngbùpò,,
节奏,"nhịp điệu, tiết tấu",jiézòu,有节奏有条理地安排工作。,sắp xếp công tác nhịp nhàng thứ tự.
忘记,quên,wàngjì,我们决不会忘记，今天的胜利是经过艰苦的斗争得来的。,"chúng ta quyết không thể quên rằng, thắng lợi hôm nay là phải qua đấu tranh gian khổ mới có được."
毕竟,"rốt cuộc, cuối cùng",bìjìng,这部书虽然有缺页，毕竟是珍本。,"mặc dù bộ sách này thiếu trang, nhưng suy cho cùng là bộ sách quý"
情况,tình hình,qíngkuàng,思想情况。,tình hình tư tưởng.
高兴,vui vẻ,gāoxìng,听说你要来，我们全家都很高兴。,"nghe nói anh sắp đến, cả nhà chúng tôi đều rất vui mừng."
大概,có lẽ,dàgài,他嘴上不说，心里却捉摸了个大概。,"nó không nói ra, nhưng trong lòng đã có những dự tính sơ lược."
释放,phóng thích,shìfàng,释放战俘。,phóng thích tù binh địch.
保障,"đảm bảo, bảo hộ",bǎozhàng,保障人民的生命财产。,bảo vệ sinh mạng và tài sản của nhân dân
培养,"rèn luyện, bồi dưỡng",péiyǎng,培养细菌。,cấy vi khuẩn.
母语,tiếng mẹ đẻ,mǔyǔ,,
冷静,"vắng vẻ, yên tĩnh, bình tĩnh",lěngjìng,夜深了，街上显得很冷静。,"đêm đã khuya, đường phố rất yên tĩnh."
开拓,"khai phá, mở rộng",kāità,这一年短篇小说的创作道路开拓得更广阔了。,"năm nay, khuynh hướng sáng tác chuyện ngắn càng được phát triển rộng khắp."
费用,chi phí,fèiyòng,生活费用,chi phí sinh hoạt
艺术,nghệ thuật,yìshù,领导艺术,chỉ đạo nghệ thuật
坐,ngồi,zuò,请坐,mời ngồi
幸运,may mắn,xìngyùn,,
愉快,vui vẻ,yúkuài,愉快的微笑。,mỉm cười vui sướng
心情,tâm trạng,xīnqíng,心情舒畅。,thư thái trong lòng
